date;variable;cases;population;rate
2014-01-01;0-15 years;100;993936;10.0610099644243
2014-01-01;16-30 years;84;939583;8.94013620936096
2014-01-01;1st Q (least deprived);41;1307463;3.13584399711502
2014-01-01;2nd Q;34;901749;3.77045053557032
2014-01-01;31-60 years;112;2769565;4.04395636137805
2014-01-01;3rd Q;71;1187032;5.9813046320571
2014-01-01;4th Q (most deprived);97;1138578;8.51939875880265
2014-01-01;>60 years;27;1327379;2.03408370932492
2014-01-01;Women;149;3052022;4.88200936952617
2014-01-01;Men;174;2978441;5.84198243309167
2014-01-01;Rural;80;1495641;5.34887717039049
2014-01-01;Total;323;6030463;5.35613932130916
2014-02-01;0-15 years;83;995022;8.34152410700467
2014-02-01;16-30 years;74;938471;7.88516640365019
2014-02-01;1st Q (least deprived);28;1309345;2.1384738170612
2014-02-01;2nd Q;35;902491;3.87815501761236
2014-02-01;31-60 years;108;2771700;3.89652559800844
2014-02-01;3rd Q;69;1187197;5.81200929584559
2014-02-01;4th Q (most deprived);113;1138904;9.92181957390614
2014-02-01;>60 years;39;1328845;2.93487953824562
2014-02-01;Women;154;3053468;5.04344568209
2014-02-01;Men;150;2980570;5.0325944366346
2014-02-01;Rural;59;1496101;3.94358402273643
2014-02-01;Total;304;6034038;5.03808560701805
2014-03-01;0-15 years;113;996072;11.3445614373258
2014-03-01;16-30 years;87;937386;9.28112858523597
2014-03-01;1st Q (least deprived);52;1310374;3.96833270501399
2014-03-01;2nd Q;33;903203;3.65366368357944
2014-03-01;31-60 years;109;2773286;3.93035554212584
2014-03-01;3rd Q;87;1187862;7.32408310056219
2014-03-01;4th Q (most deprived);99;1139152;8.69067516889757
2014-03-01;>60 years;45;1330383;3.38248459278268
2014-03-01;Women;169;3054864;5.53216116985895
2014-03-01;Men;185;2982263;6.20334289765859
2014-03-01;Rural;83;1496536;5.54614122212897
2014-03-01;Total;354;6037127;5.8637163008166
2014-04-01;0-15 years;109;996063;10.943082917446
2014-04-01;16-30 years;92;936186;9.82710700651366
2014-04-01;1st Q (least deprived);39;1311183;2.97441318259923
2014-04-01;2nd Q;37;903673;4.0944014040477
2014-04-01;31-60 years;91;2774814;3.27949909435371
2014-04-01;3rd Q;67;1188518;5.63727263701517
2014-04-01;4th Q (most deprived);109;1139165;9.56841195085874
2014-04-01;>60 years;18;1332196;1.35115253311074
2014-04-01;Women;155;3055914;5.07213226550224
2014-04-01;Men;155;2983345;5.19551040861851
2014-04-01;Rural;58;1496720;3.87514030680421
2014-04-01;Total;310;6039259;5.13308006826665
2014-05-01;0-15 years;77;996314;7.72848720383333
2014-05-01;16-30 years;67;934905;7.16650354848888
2014-05-01;1st Q (least deprived);30;1312293;2.28607483237356
2014-05-01;2nd Q;29;903901;3.20831595495524
2014-05-01;31-60 years;99;2775781;3.56656378871388
2014-05-01;3rd Q;66;1188879;5.55144804475477
2014-05-01;4th Q (most deprived);74;1139070;6.49652786922665
2014-05-01;>60 years;18;1333609;1.34972094519458
2014-05-01;Women;118;3056556;3.86055416619228
2014-05-01;Men;143;2984053;4.79214008598373
2014-05-01;Rural;62;1496466;4.14309446389026
2014-05-01;Total;261;6040609;4.32075640055498
2014-06-01;0-15 years;74;1001999;7.38523691141408
2014-06-01;16-30 years;70;940068;7.44626984430914
2014-06-01;1st Q (least deprived);35;1357900;2.57750938949849
2014-06-01;2nd Q;26;904785;2.8736108578281
2014-06-01;31-60 years;86;2797742;3.07390745822881
2014-06-01;3rd Q;61;1190056;5.12580920561722
2014-06-01;4th Q (most deprived);91;1139893;7.98320544121247
2014-06-01;>60 years;34;1349522;2.5194105764856
2014-06-01;Women;133;3083373;4.31345802145897
2014-06-01;Men;131;3005958;4.35801165551881
2014-06-01;Rural;51;1496697;3.40750332231574
2014-06-01;Total;264;6089331;4.33545162843012
2014-07-01;0-15 years;75;994203;7.54373100865719
2014-07-01;16-30 years;46;928546;4.95398181673283
2014-07-01;1st Q (least deprived);32;1351949;2.36695319128162
2014-07-01;2nd Q;30;900245;3.33242617287516
2014-07-01;31-60 years;121;2776790;4.35754954461807
2014-07-01;3rd Q;56;1183385;4.73218774954896
2014-07-01;4th Q (most deprived);82;1121587;7.31106904769759
2014-07-01;>60 years;24;1347401;1.78120693097304
2014-07-01;Women;129;3064568;4.20940243453564
2014-07-01;Men;137;2982372;4.59365900699175
2014-07-01;Rural;66;1489774;4.43020216489212
2014-07-01;Total;266;6046940;4.39891912272984
2014-08-01;0-15 years;56;994877;5.62883652954084
2014-08-01;16-30 years;55;929163;5.91930586990657
2014-08-01;1st Q (least deprived);28;1353492;2.06872297730611
2014-08-01;2nd Q;32;900781;3.55247279860477
2014-08-01;31-60 years;93;2783297;3.34136098303559
2014-08-01;3rd Q;43;1184273;3.63091955993255
2014-08-01;4th Q (most deprived);80;1129521;7.08264830844225
2014-08-01;>60 years;23;1351390;1.70195132419213
2014-08-01;Women;119;3070573;3.87549815620733
2014-08-01;Men;108;2988154;3.61427155360801
2014-08-01;Rural;44;1490660;2.95171266418902
2014-08-01;Total;227;6058727;3.74666163370622
2014-09-01;0-15 years;96;1000632;9.59393663204854
2014-09-01;16-30 years;89;932155;9.54776834324764
2014-09-01;1st Q (least deprived);70;1356105;5.1618421877362
2014-09-01;2nd Q;49;901770;5.43375805360569
2014-09-01;31-60 years;127;2796428;4.5415079522877
2014-09-01;3rd Q;58;1185613;4.89198414659758
2014-09-01;4th Q (most deprived);109;1152548;9.45730676726696
2014-09-01;>60 years;45;1358699;3.31199183925211
2014-09-01;Women;186;3085356;6.02847775102776
2014-09-01;Men;171;3002558;5.69514394059998
2014-09-01;Rural;71;1491878;4.75910228584375
2014-09-01;Total;357;6087914;5.86407758059657
2014-10-01;0-15 years;167;1001634;16.6727567155268
2014-10-01;16-30 years;110;931421;11.8099119517383
2014-10-01;1st Q (least deprived);51;1358004;3.75551176579745
2014-10-01;2nd Q;66;902249;7.31505382660441
2014-10-01;31-60 years;144;2798146;5.14626470527271
2014-10-01;3rd Q;99;1185968;8.34761140266854
2014-10-01;4th Q (most deprived);153;1153241;13.2669580772796
2014-10-01;>60 years;45;1360376;3.30790898986751
2014-10-01;Women;236;3087116;7.64467548352572
2014-10-01;Men;230;3004461;7.65528326045837
2014-10-01;Rural;97;1492115;6.50083941251177
2014-10-01;Total;466;6091577;7.64990740492979
2014-11-01;0-15 years;125;1002291;12.471427958547
2014-11-01;16-30 years;113;930965;12.1379428872192
2014-11-01;1st Q (least deprived);73;1359545;5.36944345350834
2014-11-01;2nd Q;57;902722;6.31423627650595
2014-11-01;31-60 years;134;2800123;4.78550406535713
2014-11-01;3rd Q;93;1186648;7.83720193351356
2014-11-01;4th Q (most deprived);111;1153402;9.62370448464629
2014-11-01;>60 years;47;1361463;3.45216873319363
2014-11-01;Women;217;3088609;7.02581647596054
2014-11-01;Men;202;3006233;6.71937271661911
2014-11-01;Rural;85;1492525;5.69504698413762
2014-11-01;Total;419;6094842;6.87466549584058
2014-12-01;0-15 years;97;997019;9.72900215542532
2014-12-01;16-30 years;100;921990;10.8461046215252
2014-12-01;1st Q (least deprived);61;1353822;4.5057622050757
2014-12-01;2nd Q;55;899412;6.11510631390286
2014-12-01;31-60 years;153;2784657;5.49439302578379
2014-12-01;3rd Q;79;1181020;6.68913312221639
2014-12-01;4th Q (most deprived);113;1144916;9.86971969996052
2014-12-01;>60 years;46;1362680;3.37570082484516
2014-12-01;Women;195;3077097;6.33714179306015
2014-12-01;Men;201;2989249;6.72409692200282
2014-12-01;Rural;88;1487176;5.9172552542537
2014-12-01;Total;396;6066346;6.52781756925833
2015-01-01;0-15 years;129;997386;12.933808976665
2015-01-01;16-30 years;131;920600;14.2298500977623
2015-01-01;1st Q (least deprived);86;1349814;6.37124818678722
2015-01-01;2nd Q;70;902950;7.752367240711
2015-01-01;31-60 years;155;2785379;5.56477233439327
2015-01-01;3rd Q;83;1181516;7.02487312909855
